"zcta","ZIPName","LandSQMI","afact"
"ZIP census tabulation area","ZIP Code name","Land area (square miles)","zcta-to-zcta allocation factor"
"55350","Hutchinson, MN",159.8798,1 
"55352","Jordan, MN",67.6068,1 
"55353","Kimball, MN",81.207,1 
"55354","Lester Prairie, MN",32.4367,1 
"55355","Litchfield, MN",171.723,1 
"55356","Orono, MN",13.0508,1 
"55357","Greenfield, MN",19.5168,1 
"55358","Maple Lake, MN",54.5604,1 
"55359","Independence, MN",42.7259,1 
"55360","Mayer, MN",30.6218,1 
"55362","Monticello, MN",65.2865,1 
"55363","Montrose, MN",28.0059,1 
"55364","Mound, MN",15.1742,1 
"55366","New Auburn, MN",0.4775,1 
"55367","New Germany, MN",19.2984,1 
"55368","Norwood Young America, MN",34.1744,1 
"55369","Maple Grove, MN",24.7529,1 
"55370","Plato, MN",20.6671,1 
"55371","Princeton, MN",195.9987,1 
"55372","Prior Lake, MN",58.5059,1 
"55373","Rockford, MN",10.6816,1 
"55374","Rogers, MN",34.2276,1 
"55375","St. Bonifacius, MN",5.1439,1 
"55376","St. Michael, MN",29.2433,1 
"55378","Savage, MN",14.3174,1 
"55379","Shakopee, MN",57.8748,1 
"55381","Silver Lake, MN",44.2068,1 
"55382","South Haven, MN",76.3442,1 
"55384","Spring Park, MN",0.353,1 
"55385","Stewart, MN",97.8955,1 
"55386","Victoria, MN",6.3957,1 
"55387","Waconia, MN",31.5416,1 
"55388","Watertown, MN",37.6452,1 
"55389","Watkins, MN",74.8518,1 
"55390","Waverly, MN",36.798,1 
"55391","Minnetonka, MN",16.5201,1 
"55395","Winsted, MN",23.9112,1 
"55396","Winthrop, MN",108.0615,1 
"55397","Norwood Young America, MN",28.2858,1 
"55398","Zimmerman, MN",73.1317,1 
"55401","Minneapolis, MN",0.7913,1 
"55402","Minneapolis, MN",0.1686,1 
"55403","Minneapolis, MN",1.3588,1 
"55404","Minneapolis, MN",1.8057,1 
"55405","Minneapolis, MN",2.8335,1 
"55406","Minneapolis, MN",5.0051,1 
"55407","Minneapolis, MN",4.0143,1 
"55408","Minneapolis, MN",2.6869,1 
"55409","Minneapolis, MN",1.3082,1 
"55410","Minneapolis, MN",3.0697,1 
"55411","Minneapolis, MN",4.0278,1 
"55412","Minneapolis, MN",3.4065,1 
"55413","Minneapolis, MN",3.1371,1 
"55414","Minneapolis, MN",3.1235,1 
"55415","Minneapolis, MN",0.4381,1 
"55416","St. Louis Park, MN",7.3359,1 
"55417","Minneapolis, MN",4.4181,1 
"55418","Minneapolis, MN",6.9883,1 
"55419","Minneapolis, MN",4.1983,1 
"55420","Bloomington, MN",6.659,1 
"55421","Columbia Heights, MN",6.2717,1 
"55422","Robbinsdale, MN",8.4814,1 
"55423","Richfield, MN",7.0655,1 
"55424","Edina, MN",2.4112,1 
"55425","Bloomington, MN",4.5367,1 
"55426","St. Louis Park, MN",6.623,1 
"55427","Golden Valley, MN",7.24,1 
"55428","New Hope, MN",8.1059,1 
"55429","Brooklyn Center, MN",6.0161,1 
"55430","Brooklyn Center, MN",5.874,1 
"55431","Bloomington, MN",7.8252,1 
"55432","Fridley, MN",9.8777,1 
"55433","Coon Rapids, MN",11.6363,1 
"55434","Blaine, MN",8.9227,1 
"55435","Edina, MN",2.9734,1 
"55436","Edina, MN",4.6902,1 
"55437","Bloomington, MN",6.7366,1 
"55438","Bloomington, MN",8.2945,1 
"55439","Edina, MN",4.7111,1 
"55441","Plymouth, MN",8.5803,1 
"55442","Plymouth, MN",5.2968,1 
"55443","Brooklyn Park, MN",9.0549,1 
"55444","Brooklyn Park, MN",4.6281,1 
"55445","Brooklyn Park, MN",7.8426,1 
"55446","Plymouth, MN",10.0757,1 
"55447","Plymouth, MN",8.9308,1 
"55448","Coon Rapids, MN",10.8262,1 
"55449","Blaine, MN",21.4429,1 
"55450","Minneapolis, MN",4.6573,1 
"55454","Minneapolis, MN",0.5952,1 
"55455","Minneapolis, MN",0.5382,1 
"55601","Beaver Bay, MN",15.3987,1 
"55602","Brimson, MN",241.6444,1 
"55603","Finland, MN",308.1974,1 
"55604","Grand Marais, MN",817.8062,1 
"55605","Grand Portage, MN",74.003,1 
"55606","Hovland, MN",151.7892,1 
"55607","Isabella, MN",301.9751,1 
"55609","Knife River, MN (PO Boxes)",2.493,1 
"55612","Lutsen, MN",165.1446,1 
"55613","Schroeder, MN",54.8192,1 
"55614","Silver Bay, MN",218.317,1 
"55615","Tofte, MN",188.9963,1 
"55616","Two Harbors, MN",479.7275,1 
"55702","Alborn, MN",50.0834,1 
"55703","Angora, MN",146.8826,1 
"55704","Askov, MN",54.0907,1 
"55705","Aurora, MN",83.4257,1 
"55706","Babbitt, MN",135.192,1 
"55707","Barnum, MN",155.1811,1 
"55708","Biwabik, MN",4.8384,1 
"55709","Bovey, MN",223.8525,1 
"55710","Britt, MN",86.1657,1 
"55711","Brookston, MN",79.1016,1 
"55712","Bruno, MN",164.2285,1 
"55713","Buhl, MN",7.4146,1 
"55716","Calumet, MN",1.2708,1 
"55717","Canyon, MN",122.2456,1 
"55718","Carlton, MN",60.3606,1 
"55719","Chisholm, MN",84.3419,1 
"55720","Cloquet, MN",156.3795,1 
"55721","Cohasset, MN",93.5027,1 
"55722","Coleraine, MN",1.222,1 
"55723","Cook, MN",393.7017,1 
"55724","Cotton, MN",250.0607,1 
"55725","Crane Lake, MN",149.1234,1 
"55726","Cromwell, MN",89.5743,1 
"55731","Ely, MN",1606.7119,1 
"55732","Embarrass, MN",206.8471,1 
"55733","Esko, MN",35.3392,1 
"55734","Eveleth, MN",78.213,1 
"55735","Finlayson, MN",125.0762,1 
"55736","Floodwood, MN",355.8787,1 
"55738","Forbes, MN",119.8021,1 
