"zcta","ZIPName","LandSQMI","afact"
"ZIP census tabulation area","ZIP Code name","Land area (square miles)","zcta-to-zcta allocation factor"
"56357","Oak Park, MN",36.4895,1 
"56358","Ogilvie, MN",125.159,1 
"56359","Onamia, MN",170.7347,1 
"56360","Osakis, MN",132.5893,1 
"56361","Parkers Prairie, MN",158.4992,1 
"56362","Paynesville, MN",150.0799,1 
"56363","Pease, MN",1.1119,1 
"56364","Pierz, MN",239.8473,1 
"56367","Rice, MN",101.7684,1 
"56368","Richmond, MN",70.534,1 
"56369","Rockville, MN",0.5668,1 
"56371","Roscoe, MN",0.4834,1 
"56373","Royalton, MN",99.46,1 
"56374","St. Joseph, MN",66.4151,1 
"56375","St. Stephen, MN",3.7742,1 
"56376","St. Martin, MN",0.7702,1 
"56377","Sartell, MN",22.3655,1 
"56378","Sauk Centre, MN",202.8203,1 
"56379","Sauk Rapids, MN",89.3977,1 
"56381","Starbuck, MN",144.6781,1 
"56382","Swanville, MN",67.2424,1 
"56384","Upsala, MN",1.0084,1 
"56385","Villard, MN",73.6596,1 
"56386","Wahkon, MN",17.8107,1 
"56387","Waite Park, MN",8.947,1 
"56389","West Union, MN",0.6918,1 
"56401","Brainerd, MN",322.5697,1 
"56425","Baxter, MN",18.2543,1 
"56431","Aitkin, MN",462.8069,1 
"56433","Akeley, MN",110.2412,1 
"56434","Aldrich, MN",14.7938,1 
"56435","Backus, MN",158.3227,1 
"56437","Bertha, MN",66.175,1 
"56438","Browerville, MN",141.5208,1 
"56440","Clarissa, MN",55.8242,1 
"56441","Crosby, MN",89.168,1 
"56442","Crosslake, MN",35.1964,1 
"56443","Cushing, MN",128.6718,1 
"56444","Deerwood, MN",51.724,1 
"56446","Eagle Bend, MN",96.792,1 
"56447","Emily, MN",83.8129,1 
"56448","Fifty Lakes, MN",46.1962,1 
"56449","Fort Ripley, MN",89.6677,1 
"56450","Garrison, MN",26.2826,1 
"56452","Hackensack, MN",95.393,1 
"56453","Hewitt, MN",53.1728,1 
"56455","Ironton, MN",24.5049,1 
"56458","Lake George, MN",21.3024,1 
"56461","Laporte, MN",286.5422,1 
"56464","Menahga, MN",256.8483,1 
"56465","Merrifield, MN",38.5316,1 
"56466","Motley, MN",193.1377,1 
"56467","Nevis, MN",124.6496,1 
"56468","Nisswa, MN",49.8057,1 
"56469","Palisade, MN",257.8298,1 
"56470","Park Rapids, MN",382.4696,1 
"56472","Pequot Lakes, MN",154.894,1 
"56473","Pillager, MN",89.9149,1 
"56474","Pine River, MN",230.4737,1 
"56475","Randall, MN",62.477,1 
"56477","Sebeka, MN",250.741,1 
"56479","Staples, MN",199.1964,1 
"56481","Verndale, MN",141.1047,1 
"56482","Wadena, MN",136.234,1 
"56484","Walker, MN",91.7743,1 
"56501","Detroit Lakes, MN",186.864,1 
"56510","Ada, MN",224.8455,1 
"56511","Audubon, MN",63.5929,1 
"56514","Barnesville, MN",212.5633,1 
"56515","Battle Lake, MN",96.0866,1 
"56516","Bejou, MN",84.941,1 
"56517","Beltrami, MN",97.1036,1 
"56518","Bluffton, MN",18.5072,1 
"56519","Borup, MN",98.1249,1 
"56520","Breckenridge, MN",125.7662,1 
"56521","Callaway, MN",62.6958,1 
"56522","Campbell, MN",149.7632,1 
"56523","Climax, MN",78.7534,1 
"56524","Clitherall, MN",44.6041,1 
"56525","Comstock, MN",1.1747,1 
"56527","Deer Creek, MN",54.764,1 
"56528","Dent, MN",61.7469,1 
"56529","Dilworth, MN",3.6857,1 
"56531","Elbow Lake, MN",151.3944,1 
"56533","Elizabeth, MN",13.904,1 
"56534","Erhard, MN",64.6637,1 
"56535","Erskine, MN",88.8223,1 
"56536","Felton, MN",95.2516,1 
"56537","Fergus Falls, MN",283.3506,1 
"56540","Fertile, MN",173.6771,1 
"56541","Flom, MN (PO Boxes)",4.0053,1 
"56542","Fosston, MN",180.1625,1 
"56543","Foxhome, MN",65.4203,1 
"56544","Frazee, MN",198.0358,1 
"56545","Gary, MN",153.505,1 
"56546","Georgetown, MN",61.1542,1 
"56547","Glyndon, MN",152.0801,1 
"56548","Halstad, MN",68.017,1 
"56549","Hawley, MN",206.3275,1 
"56550","Hendrum, MN",48.9396,1 
"56551","Henning, MN",105.2399,1 
"56552","Hitterdal, MN",46.4523,1 
"56553","Kent, MN",63.9869,1 
"56554","Lake Park, MN",115.1467,1 
"56556","McIntosh, MN",102.8078,1 
"56557","Mahnomen, MN",234.9388,1 
"56560","Moorhead, MN",157.355,1 
"56562","Moorhead, MN",0.0686,1 
"56563","Moorhead, MN",0.1553,1 
"56565","Nashua, MN",31.0619,1 
"56566","Naytahwaush, MN",13.2592,1 
"56567","New York Mills, MN",148.4402,1 
"56568","Nielsville, MN",29.7139,1 
"56569","Ogema, MN",158.4014,1 
"56570","Osage, MN",97.7072,1 
"56571","Ottertail, MN",46.3409,1 
"56572","Pelican Rapids, MN",171.3623,1 
"56573","Perham, MN",137.548,1 
"56574","Perley, MN",68.7897,1 
"56575","Ponsford, MN",141.2456,1 
"56576","Richville, MN",40.2219,1 
"56578","Rochert, MN",55.4699,1 
"56579","Rothsay, MN",197.4297,1 
"56580","Sabin, MN",63.811,1 
"56581","Shelly, MN",39.7473,1 
"56583","Tintah, MN",76.5035,1 
"56584","Twin Valley, MN",134.1392,1 
"56585","Ulen, MN",125.465,1 
"56586","Underwood, MN",73.6359,1 
"56587","Vergas, MN",53.1564,1 
"56588","Vining, MN",47.2558,1 
"56589","Waubun, MN",243.1398,1 
"56590","Wendell, MN",81.0743,1 
"56591","White Earth, MN",2.6838,1 
"56592","Winger, MN",58.9073,1 
"56594","Wolverton, MN",93.8063,1 
"56601","Bemidji, MN",371.1179,1 
"56621","Bagley, MN",321.35,1 
"56623","Baudette, MN",446.4909,1 
"56626","Bena, MN",90.0487,1 
"56627","Big Falls, MN",939.2778,1 
"56628","Bigfork, MN",331.7625,1 
"56629","Birchdale, MN (PO Boxes)",309.9437,1 
"56630","Blackduck, MN",313.6266,1 
"56633","Cass Lake, MN",216.3886,1 
"56634","Clearbrook, MN",120.1873,1 
"56636","Deer River, MN",436.8991,1 
"56637","Talmoon, MN",26.2152,1 
"56639","Effie, MN",308.8612,1 
"56641","Federal Dam, MN",31.5423,1 
"56644","Gonvick, MN",98.1265,1 
"56646","Gully, MN",75.5201,1 
"56647","Hines, MN",78.0311,1 
"56649","International Falls, MN",285.3459,1 
"56650","Kelliher, MN",179.2645,1 
"56651","Lengby, MN",70.8678,1 
"56652","Leonard, MN",65.4011,1 
"56653","Littlefork, MN",453.9512,1 
"56654","Loman, MN",122.3967,1 
"56655","Longville, MN",95.6134,1 
"56657","Marcell, MN",54.3684,1 
"56658","Margie, MN",5.4968,1 
"56659","Max, MN",32.4915,1 
"56660","Mizpah, MN",135.5238,1 
"56661","Northome, MN",371.4118,1 
"56662","Outing, MN",60.9831,1 
"56663","Pennington, MN",40.6118,1 
"56666","Ponemah, MN",42.4624,1 
"56667","Puposky, MN",96.6344,1 
"56668","Ranier, MN",0.2048,1 
"56669","Kabetogama, MN",251.2479,1 
"56670","Redby, MN",28.2137,1 
"56671","Red Lake, MN",320.999,1 
"56672","Remer, MN",396.8149,1 
"56673","Roosevelt, MN",203.9552,1 
"56676","Shevlin, MN",216.3933,1 
"56678","Solway, MN",127.0012,1 
"56680","Spring Lake, MN",22.9201,1 
"56681","Squaw Lake, MN",161.364,1 
"56683","Tenstrike, MN",58.3607,1 
"56684","Trail, MN",123.5806,1 
"56685","Waskish, MN",125.4268,1 
"56686","Williams, MN",185.9414,1 
"56688","Wirt, MN",102.5479,1 
"56701","Thief River Falls, MN",383.0416,1 
"56710","Alvarado, MN",44.3954,1 
"56711","Angle Inlet, MN",124.9651,1 
"56713","Argyle, MN",182.9903,1 
"56714","Badger, MN",203.3499,1 
"56715","Brooks, MN",58.7546,1 
"56716","Crookston, MN",325.2056,1 
"56720","Donaldson, MN",8.062,1 
"56721","East Grand Forks, MN",192.4265,1 
"56722","Euclid, MN",135.4813,1 
"56723","Fisher, MN",120.6711,1 
"56724","Gatzke, MN",124.0643,1 
"56725","Goodridge, MN",415.5187,1 
"56726","Greenbush, MN",266.834,1 
"56727","Grygla, MN",621.2747,1 
"56728","Hallock, MN",189.1776,1 
"56729","Halma, MN",43.0073,1 
"56731","Humboldt, MN (PO Boxes)",38.4576,1 
"56732","Karlstad, MN",161.073,1 
"56733","Kennedy, MN",151.6154,1 
"56734","Lake Bronson, MN",173.7643,1 
"56735","Lancaster, MN",367.1708,1 
"56736","Mentor, MN",110.3154,1 
"56737","Middle River, MN",238.0301,1 
"56738","Newfolden, MN",181.5852,1 
"56742","Oklee, MN",109.576,1 
"56744","Oslo, MN",70.6475,1 
"56748","Plummer, MN",88.0916,1 
"56750","Red Lake Falls, MN",235.5556,1 
"56751","Roseau, MN",472.4907,1 
"56754","St. Hilaire, MN",38.4146,1 
"56755","St. Vincent, MN",44.5879,1 
"56756","Salol, MN",128.8568,1 
"56757","Stephen, MN",234.3568,1 
"56758","Strandquist, MN",102.8749,1 
"56759","Strathcona, MN",168.1624,1 
"56760","Viking, MN",83.3963,1 
"56761","Wannaska, MN",100.774,1 
"56762","Warren, MN",335.9564,1 
"56763","Warroad, MN",262.9278,1 
"57026","Elkton, SD",41.4286,1 
"57030","Garretson, SD",13.3707,1 
"57068","Valley Springs, SD",3.1432,1 
"58030","Fairmount, ND",1.7477,1 
"58225","Drayton, ND",26.5763,1 
